6916	ဒေသတွင်း Firefox အကူအညီ	my	\N	\N	838		30	ဒေသတွင်း-firefox-အကူအညီ	0	0	0	0			1
7536	Firefox အားစတင်အသုံးပြုခြင်း	my	\N	\N	869		20	စတင်-အသုံးပြု-firefox	0	0	1	0			1
7537	Firefox အား အဆင့်မြှင့်တင်ခြင်း	my	\N	\N	735		20	updating firefox	0	0	1	0			1
7540	မေးခွန်းမေးမယ်	my	\N	\N	832		50	မေးခွန်းမေးမယ်	0	1	0	0			1
7541	စာလုံးများ မှုံဝါးလွန်းနေသည်	my	\N	\N	7358		10	စာလုံးများ-မှုံဝါးလွန်းနေသည်	0	1	1	0			1
7731	Template:aboutconfig	my	\N	\N	16		60	templateaboutconfig	1	0	1	0			1
8200	္firefox	my	\N	\N	697		20	firefox	0	0	0	0			1
9097	device တစ်ခုကို Firefox Sync သို့ ပေါင်းထည့်ရန်အတွက် ကုဒ်ကို ကျွန်ုပ် ဘယ်​နေရာတွင် ရှာနိုင်ပါလဲ?	my	\N	\N	6083		20	device-firefox-sync-ပေါင်းထည့်-ရန်-ကုဒ်-ရှာ	0	1	1	0			1
9098	Firefox ထည့်သွင်းခြင်း	my	\N	\N	699		20	Firefox ထည့်သွင်းခြင်း	0	1	1	0			1
9806	Tab စာမျက်နှာအသစ် - ထိပ်တန်း site များကိုစီမံရန်	my	\N	\N	9373		20	ew-tab-page-show-hide-and-customize-top-sites	0	0	1	0			1
9808	Firefox ၏ မူလ စာမျက်နှာတွင် အသုံးများသော လုပ်ဆောင်ဖွယ်များသို့ လျှင်မြန်လွယ်ကူသော Link များပါရှိလာပြီ	my	\N	\N	9374		20	firefox-default-home-page-has-links-to-features	0	0	1	0			1
